Test: [80/88]	Time 0.156 (0.326)	Loss 0.0000 (0.0020)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Testing Results: Prec@1 100.000 Prec@2 100.000 Loss 0.00190
Best Prec@1: 100.000

Epoch: [2][0/203], lr: 0.00100	Time 14.324 (14.324)	Data 13.793 (13.793)	Loss 0.0001 (0.0001)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Epoch: [2][20/203], lr: 0.00100	Time 0.485 (1.153)	Data 0.000 (0.660)	Loss 0.2277 (0.2002)	Prec@1 87.500 (92.262)	Prec@2 100.000 (98.214)
Epoch: [2][40/203], lr: 0.00100	Time 0.484 (0.828)	Data 0.000 (0.338)	Loss 0.7244 (0.1673)	Prec@1 62.500 (92.988)	Prec@2 100.000 (98.780)
Epoch: [2][60/203], lr: 0.00100	Time 0.484 (0.716)	Data 0.000 (0.227)	Loss 0.1013 (0.1713)	Prec@1 100.000 (93.033)	Prec@2 100.000 (98.566)
Epoch: [2][80/203], lr: 0.00100	Time 0.479 (0.660)	Data 0.000 (0.171)	Loss 0.0010 (0.1632)	Prec@1 100.000 (94.136)	Prec@2 100.000 (98.920)
Epoch: [2][100/203], lr: 0.00100	Time 0.490 (0.625)	Data 0.000 (0.137)	Loss 0.1805 (0.1734)	Prec@1 87.500 (93.441)	Prec@2 100.000 (98.515)
Epoch: [2][120/203], lr: 0.00100	Time 0.484 (0.602)	Data 0.000 (0.115)	Loss 0.0298 (0.1830)	Prec@1 100.000 (92.665)	Prec@2 100.000 (97.934)
Epoch: [2][140/203], lr: 0.00100	Time 0.484 (0.586)	Data 0.000 (0.098)	Loss 0.0046 (0.1822)	Prec@1 100.000 (92.819)	Prec@2 100.000 (98.050)
Epoch: [2][160/203], lr: 0.00100	Time 0.486 (0.573)	Data 0.000 (0.086)	Loss 0.1965 (0.1778)	Prec@1 87.500 (92.857)	Prec@2 100.000 (98.059)
Epoch: [2][180/203], lr: 0.00100	Time 0.484 (0.564)	Data 0.000 (0.077)	Loss 0.7259 (0.1817)	Prec@1 62.500 (92.749)	Prec@2 87.500 (98.066)
Epoch: [2][200/203], lr: 0.00100	Time 0.484 (0.556)	Data 0.000 (0.069)	Loss 0.0087 (0.1760)	Prec@1 100.000 (93.159)	Prec@2 100.000 (98.197)
Test: [0/88]	Time 14.777 (14.777)	Loss 0.0000 (0.0000)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [20/88]	Time 0.156 (0.849)	Loss 0.0000 (0.0000)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [40/88]	Time 0.156 (0.510)	Loss 0.0000 (0.0000)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [60/88]	Time 0.156 (0.393)	Loss 0.0000 (0.0024)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [80/88]	Time 0.141 (0.333)	Loss 0.0000 (0.0018)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Testing Results: Prec@1 100.000 Prec@2 100.000 Loss 0.00167
Best Prec@1: 100.000

Epoch: [3][0/203], lr: 0.00100	Time 14.817 (14.817)	Data 14.318 (14.318)	Loss 0.0003 (0.0003)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Epoch: [3][20/203], lr: 0.00100	Time 0.484 (1.173)	Data 0.000 (0.686)	Loss 0.2582 (0.1507)	Prec@1 87.500 (94.643)	Prec@2 100.000 (97.619)
Epoch: [3][40/203], lr: 0.00100	Time 0.484 (0.837)	Data 0.000 (0.351)	Loss 0.2121 (0.1375)	Prec@1 87.500 (95.122)	Prec@2 100.000 (97.561)
Epoch: [3][60/203], lr: 0.00100	Time 0.484 (0.722)	Data 0.000 (0.236)	Loss 0.1036 (0.1485)	Prec@1 100.000 (94.467)	Prec@2 100.000 (98.156)
Epoch: [3][80/203], lr: 0.00100	Time 0.484 (0.664)	Data 0.000 (0.178)	Loss 0.1080 (0.1375)	Prec@1 100.000 (95.062)	Prec@2 100.000 (98.302)
