Epoch: [0][0/203], lr: 0.01000	Time 20.519 (20.519)	Data 15.872 (15.872)	Loss 1.3806 (1.3806)	Prec@1 25.000 (25.000)	Prec@2 75.000 (75.000)
Epoch: [0][20/203], lr: 0.01000	Time 0.516 (1.463)	Data 0.000 (0.756)	Loss 0.7772 (3.1291)	Prec@1 62.500 (46.429)	Prec@2 75.000 (64.286)
Epoch: [0][40/203], lr: 0.01000	Time 0.505 (0.995)	Data 0.000 (0.387)	Loss 3.1746 (2.6334)	Prec@1 50.000 (44.207)	Prec@2 62.500 (63.110)
Epoch: [0][60/203], lr: 0.01000	Time 0.504 (0.834)	Data 0.000 (0.260)	Loss 4.7016 (2.7618)	Prec@1 62.500 (40.164)	Prec@2 62.500 (61.475)
Epoch: [0][80/203], lr: 0.01000	Time 0.503 (0.752)	Data 0.000 (0.196)	Loss 1.1862 (2.5835)	Prec@1 62.500 (39.043)	Prec@2 75.000 (59.414)
Epoch: [0][100/203], lr: 0.01000	Time 0.514 (0.703)	Data 0.000 (0.157)	Loss 0.6584 (2.4356)	Prec@1 87.500 (40.347)	Prec@2 100.000 (61.510)
Epoch: [0][120/203], lr: 0.01000	Time 0.503 (0.670)	Data 0.000 (0.131)	Loss 1.2741 (2.2542)	Prec@1 37.500 (42.872)	Prec@2 62.500 (63.430)
Epoch: [0][140/203], lr: 0.01000	Time 0.504 (0.647)	Data 0.000 (0.113)	Loss 0.7527 (2.1051)	Prec@1 75.000 (43.528)	Prec@2 75.000 (63.652)
Epoch: [0][160/203], lr: 0.01000	Time 0.504 (0.629)	Data 0.000 (0.099)	Loss 0.8827 (2.0058)	Prec@1 75.000 (44.798)	Prec@2 87.500 (64.752)
Epoch: [0][180/203], lr: 0.01000	Time 0.500 (0.615)	Data 0.000 (0.088)	Loss 0.9743 (1.9191)	Prec@1 62.500 (45.442)	Prec@2 87.500 (65.401)
Epoch: [0][200/203], lr: 0.01000	Time 0.503 (0.604)	Data 0.000 (0.079)	Loss 0.6033 (1.8650)	Prec@1 87.500 (45.087)	Prec@2 87.500 (65.547)
Test: [0/88]	Time 17.043 (17.043)	Loss 2.2828 (2.2828)	Prec@1 0.000 (0.000)	Prec@2 37.500 (37.500)
Test: [20/88]	Time 0.150 (1.139)	Loss 4.6692 (5.9814)	Prec@1 0.000 (0.000)	Prec@2 25.000 (59.524)
Test: [40/88]	Time 0.149 (0.795)	Loss 1.8750 (3.9708)	Prec@1 0.000 (0.000)	Prec@2 0.000 (30.488)
Test: [60/88]	Time 0.150 (0.648)	Loss 1.8585 (3.2998)	Prec@1 0.000 (0.000)	Prec@2 0.000 (20.492)
Test: [80/88]	Time 0.149 (0.533)	Loss 1.8219 (2.9634)	Prec@1 0.000 (0.000)	Prec@2 0.000 (18.673)
Testing Results: Prec@1 0.000 Prec@2 17.286 Loss 2.88880
Best Prec@1: 0.000

Epoch: [1][0/203], lr: 0.01000	Time 15.400 (15.400)	Data 14.890 (14.890)	Loss 1.5014 (1.5014)	Prec@1 50.000 (50.000)	Prec@2 62.500 (62.500)
Epoch: [1][20/203], lr: 0.01000	Time 0.492 (1.212)	Data 0.000 (0.709)	Loss 0.6661 (1.0390)	Prec@1 75.000 (59.524)	Prec@2 75.000 (73.214)
Epoch: [1][40/203], lr: 0.01000	Time 0.490 (0.866)	Data 0.000 (0.363)	Loss 1.1401 (1.0369)	Prec@1 37.500 (58.841)	Prec@2 75.000 (74.390)
Epoch: [1][60/203], lr: 0.01000	Time 0.489 (0.746)	Data 0.000 (0.244)	Loss 0.7020 (1.0810)	Prec@1 62.500 (58.607)	Prec@2 100.000 (74.795)
Epoch: [1][80/203], lr: 0.01000	Time 0.490 (0.686)	Data 0.000 (0.184)	Loss 1.0768 (1.1085)	Prec@1 25.000 (56.173)	Prec@2 75.000 (73.611)
Epoch: [1][100/203], lr: 0.01000	Time 0.494 (0.650)	Data 0.000 (0.148)	Loss 0.6945 (1.1203)	Prec@1 87.500 (55.074)	Prec@2 87.500 (72.896)
Epoch: [1][120/203], lr: 0.01000	Time 0.501 (0.626)	Data 0.000 (0.123)	Loss 1.6097 (1.1271)	Prec@1 50.000 (54.855)	Prec@2 75.000 (73.554)
Epoch: [1][140/203], lr: 0.01000	Time 0.504 (0.608)	Data 0.000 (0.106)	Loss 0.8506 (1.1265)	Prec@1 75.000 (54.078)	Prec@2 87.500 (74.025)
Epoch: [1][160/203], lr: 0.01000	Time 0.505 (0.596)	Data 0.000 (0.093)	Loss 0.8266 (1.1387)	Prec@1 75.000 (53.882)	Prec@2 87.500 (73.370)
Epoch: [1][180/203], lr: 0.01000	Time 0.502 (0.585)	Data 0.000 (0.082)	Loss 0.6847 (1.1331)	Prec@1 75.000 (53.936)	Prec@2 87.500 (73.135)
Epoch: [1][200/203], lr: 0.01000	Time 0.500 (0.577)	Data 0.000 (0.074)	Loss 1.1666 (1.1191)	Prec@1 37.500 (54.540)	Prec@2 75.000 (73.259)
