Epoch: [0][0/203], lr: 0.00100	Time 18.079 (18.079)	Data 14.203 (14.203)	Loss 1.3852 (1.3852)	Prec@1 37.500 (37.500)	Prec@2 50.000 (50.000)
Epoch: [0][20/203], lr: 0.00100	Time 0.485 (1.324)	Data 0.000 (0.676)	Loss 0.9971 (1.2805)	Prec@1 62.500 (45.833)	Prec@2 87.500 (70.238)
Epoch: [0][40/203], lr: 0.00100	Time 0.484 (0.915)	Data 0.000 (0.346)	Loss 1.1193 (1.1786)	Prec@1 50.000 (50.610)	Prec@2 50.000 (72.561)
Epoch: [0][60/203], lr: 0.00100	Time 0.484 (0.774)	Data 0.000 (0.233)	Loss 0.8548 (1.0889)	Prec@1 50.000 (54.918)	Prec@2 100.000 (75.615)
Epoch: [0][80/203], lr: 0.00100	Time 0.484 (0.703)	Data 0.000 (0.175)	Loss 0.2144 (0.9725)	Prec@1 100.000 (60.648)	Prec@2 100.000 (79.167)
Epoch: [0][100/203], lr: 0.00100	Time 0.484 (0.661)	Data 0.000 (0.141)	Loss 0.2977 (0.8948)	Prec@1 87.500 (64.233)	Prec@2 100.000 (81.807)
Epoch: [0][120/203], lr: 0.00100	Time 0.484 (0.632)	Data 0.000 (0.118)	Loss 0.2515 (0.8150)	Prec@1 100.000 (67.562)	Prec@2 100.000 (84.298)
Epoch: [0][140/203], lr: 0.00100	Time 0.485 (0.612)	Data 0.000 (0.101)	Loss 0.0175 (0.7497)	Prec@1 100.000 (69.770)	Prec@2 100.000 (85.904)
Epoch: [0][160/203], lr: 0.00100	Time 0.484 (0.597)	Data 0.000 (0.088)	Loss 0.6008 (0.6993)	Prec@1 87.500 (71.817)	Prec@2 87.500 (87.112)
Epoch: [0][180/203], lr: 0.00100	Time 0.494 (0.585)	Data 0.000 (0.079)	Loss 0.4320 (0.6617)	Prec@1 87.500 (73.481)	Prec@2 87.500 (88.122)
Epoch: [0][200/203], lr: 0.00100	Time 0.484 (0.575)	Data 0.000 (0.071)	Loss 0.3263 (0.6192)	Prec@1 87.500 (75.249)	Prec@2 100.000 (89.179)
Test: [0/88]	Time 14.187 (14.187)	Loss 0.0005 (0.0005)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [20/88]	Time 0.154 (0.831)	Loss 0.0000 (0.1285)	Prec@1 100.000 (95.833)	Prec@2 100.000 (99.405)
