Epoch: [0][0/203], lr: 0.02000	Time 15.806 (15.806)	Data 11.791 (11.791)	Loss 1.3897 (1.3897)	Prec@1 12.500 (12.500)	Prec@2 25.000 (25.000)
Epoch: [0][20/203], lr: 0.02000	Time 0.500 (1.233)	Data 0.000 (0.561)	Loss 1.5516 (9.3781)	Prec@1 12.500 (30.952)	Prec@2 75.000 (51.786)
Epoch: [0][40/203], lr: 0.02000	Time 0.500 (0.877)	Data 0.000 (0.288)	Loss 2.6127 (6.2866)	Prec@1 37.500 (32.622)	Prec@2 75.000 (57.622)
Epoch: [0][60/203], lr: 0.02000	Time 0.500 (0.754)	Data 0.000 (0.193)	Loss 2.8629 (5.0429)	Prec@1 37.500 (34.631)	Prec@2 62.500 (60.861)
Epoch: [0][80/203], lr: 0.02000	Time 0.504 (0.692)	Data 0.000 (0.146)	Loss 2.0000 (4.1969)	Prec@1 25.000 (35.340)	Prec@2 87.500 (63.426)
Epoch: [0][100/203], lr: 0.02000	Time 0.500 (0.654)	Data 0.000 (0.117)	Loss 1.6565 (3.8379)	Prec@1 37.500 (36.881)	Prec@2 50.000 (63.985)
Epoch: [0][120/203], lr: 0.02000	Time 0.500 (0.629)	Data 0.000 (0.098)	Loss 2.2851 (3.5153)	Prec@1 25.000 (37.293)	Prec@2 37.500 (63.017)
Epoch: [0][140/203], lr: 0.02000	Time 0.500 (0.611)	Data 0.000 (0.084)	Loss 1.2948 (3.2609)	Prec@1 50.000 (37.411)	Prec@2 50.000 (62.145)
Epoch: [0][160/203], lr: 0.02000	Time 0.515 (0.598)	Data 0.000 (0.073)	Loss 1.1399 (3.0483)	Prec@1 50.000 (37.112)	Prec@2 62.500 (62.422)
Epoch: [0][180/203], lr: 0.02000	Time 0.500 (0.587)	Data 0.000 (0.065)	Loss 1.2419 (2.8889)	Prec@1 50.000 (37.086)	Prec@2 62.500 (63.052)
Epoch: [0][200/203], lr: 0.02000	Time 0.488 (0.579)	Data 0.000 (0.059)	Loss 1.2742 (2.7608)	Prec@1 50.000 (37.189)	Prec@2 50.000 (63.682)
Test: [0/88]	Time 11.129 (11.129)	Loss 7.4924 (7.4924)	Prec@1 0.000 (0.000)	Prec@2 0.000 (0.000)
