Epoch: [0][0/203], lr: 0.01000	Time 33.860 (33.860)	Data 22.437 (22.437)	Loss 1.3908 (1.3908)	Prec@1 12.500 (12.500)	Prec@2 25.000 (25.000)
Epoch: [0][20/203], lr: 0.01000	Time 0.515 (2.089)	Data 0.000 (1.068)	Loss 1.0387 (6.2486)	Prec@1 37.500 (38.690)	Prec@2 62.500 (59.524)
Epoch: [0][40/203], lr: 0.01000	Time 0.498 (1.313)	Data 0.000 (0.547)	Loss 0.8277 (3.7134)	Prec@1 87.500 (48.171)	Prec@2 87.500 (66.768)
Epoch: [0][60/203], lr: 0.01000	Time 0.507 (1.046)	Data 0.000 (0.368)	Loss 9.1679 (3.3604)	Prec@1 37.500 (48.361)	Prec@2 75.000 (69.057)
Epoch: [0][80/203], lr: 0.01000	Time 0.508 (0.912)	Data 0.000 (0.277)	Loss 0.9752 (3.3689)	Prec@1 50.000 (47.222)	Prec@2 62.500 (67.747)
Epoch: [0][100/203], lr: 0.01000	Time 0.520 (0.830)	Data 0.000 (0.223)	Loss 1.0901 (3.0584)	Prec@1 62.500 (45.792)	Prec@2 75.000 (67.327)
Epoch: [0][120/203], lr: 0.01000	Time 0.500 (0.776)	Data 0.000 (0.186)	Loss 1.3988 (2.8121)	Prec@1 25.000 (46.488)	Prec@2 75.000 (67.975)
Epoch: [0][140/203], lr: 0.01000	Time 0.484 (0.737)	Data 0.000 (0.160)	Loss 1.0751 (2.5880)	Prec@1 62.500 (47.606)	Prec@2 75.000 (69.415)
Epoch: [0][160/203], lr: 0.01000	Time 0.500 (0.708)	Data 0.000 (0.140)	Loss 1.1481 (2.4380)	Prec@1 37.500 (48.447)	Prec@2 50.000 (69.332)
Epoch: [0][180/203], lr: 0.01000	Time 0.500 (0.685)	Data 0.000 (0.124)	Loss 0.9316 (2.3147)	Prec@1 62.500 (47.997)	Prec@2 75.000 (69.268)
Epoch: [0][200/203], lr: 0.01000	Time 0.507 (0.666)	Data 0.000 (0.112)	Loss 0.7984 (2.2101)	Prec@1 75.000 (48.881)	Prec@2 75.000 (69.652)
