Epoch: [0][0/203], lr: 0.00100	Time 15.645 (15.645)	Data 11.809 (11.809)	Loss 1.3957 (1.3957)	Prec@1 0.000 (0.000)	Prec@2 12.500 (12.500)
Epoch: [0][20/203], lr: 0.00100	Time 0.489 (1.205)	Data 0.000 (0.563)	Loss 1.2533 (1.3315)	Prec@1 50.000 (33.929)	Prec@2 62.500 (63.690)
Epoch: [0][40/203], lr: 0.00100	Time 0.483 (0.855)	Data 0.000 (0.288)	Loss 0.8399 (1.2225)	Prec@1 87.500 (41.463)	Prec@2 87.500 (69.207)
Epoch: [0][60/203], lr: 0.00100	Time 0.483 (0.735)	Data 0.000 (0.194)	Loss 0.7229 (1.0561)	Prec@1 62.500 (51.434)	Prec@2 87.500 (74.590)
Epoch: [0][80/203], lr: 0.00100	Time 0.484 (0.673)	Data 0.000 (0.146)	Loss 0.3766 (0.9128)	Prec@1 75.000 (58.488)	Prec@2 87.500 (79.167)
Epoch: [0][100/203], lr: 0.00100	Time 0.484 (0.635)	Data 0.000 (0.117)	Loss 0.7105 (0.8053)	Prec@1 75.000 (63.985)	Prec@2 87.500 (82.673)
Epoch: [0][120/203], lr: 0.00100	Time 0.482 (0.610)	Data 0.000 (0.098)	Loss 0.0967 (0.7142)	Prec@1 100.000 (68.698)	Prec@2 100.000 (85.434)
Epoch: [0][140/203], lr: 0.00100	Time 0.487 (0.593)	Data 0.000 (0.084)	Loss 0.5180 (0.6569)	Prec@1 75.000 (71.188)	Prec@2 87.500 (86.968)
Epoch: [0][160/203], lr: 0.00100	Time 0.483 (0.579)	Data 0.000 (0.074)	Loss 0.3948 (0.6116)	Prec@1 87.500 (73.137)	Prec@2 100.000 (88.276)
Epoch: [0][180/203], lr: 0.00100	Time 0.485 (0.569)	Data 0.000 (0.065)	Loss 0.0496 (0.5745)	Prec@1 100.000 (74.862)	Prec@2 100.000 (89.227)
Epoch: [0][200/203], lr: 0.00100	Time 0.483 (0.560)	Data 0.000 (0.059)	Loss 0.0176 (0.5390)	Prec@1 100.000 (76.493)	Prec@2 100.000 (90.112)
Test: [0/88]	Time 11.743 (11.743)	Loss 0.0229 (0.0229)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [20/88]	Time 0.150 (0.712)	Loss 0.0001 (1.7092)	Prec@1 100.000 (67.857)	Prec@2 100.000 (69.643)
Test: [40/88]	Time 0.150 (0.439)	Loss 0.0283 (0.8852)	Prec@1 100.000 (83.537)	Prec@2 100.000 (84.451)
Test: [60/88]	Time 0.150 (0.345)	Loss 0.0931 (0.6271)	Prec@1 100.000 (88.525)	Prec@2 100.000 (89.549)
Test: [80/88]	Time 0.150 (0.297)	Loss 4.4776 (1.2723)	Prec@1 0.000 (76.852)	Prec@2 62.500 (84.414)
Testing Results: Prec@1 71.143 Prec@2 85.143 Loss 1.62542
Best Prec@1: 71.143

Epoch: [1][0/203], lr: 0.00100	Time 12.363 (12.363)	Data 11.871 (11.871)	Loss 0.0099 (0.0099)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Epoch: [1][20/203], lr: 0.00100	Time 0.483 (1.050)	Data 0.000 (0.565)	Loss 0.0057 (0.1348)	Prec@1 100.000 (94.643)	Prec@2 100.000 (100.000)
Epoch: [1][40/203], lr: 0.00100	Time 0.485 (0.774)	Data 0.000 (0.290)	Loss 0.0233 (0.1744)	Prec@1 100.000 (92.683)	Prec@2 100.000 (99.085)
Epoch: [1][60/203], lr: 0.00100	Time 0.485 (0.679)	Data 0.001 (0.195)	Loss 0.0344 (0.1616)	Prec@1 100.000 (93.648)	Prec@2 100.000 (99.180)
Epoch: [1][80/203], lr: 0.00100	Time 0.486 (0.631)	Data 0.000 (0.147)	Loss 0.0542 (0.1649)	Prec@1 100.000 (93.981)	Prec@2 100.000 (99.074)
Epoch: [1][100/203], lr: 0.00100	Time 0.485 (0.602)	Data 0.000 (0.118)	Loss 0.1998 (0.1828)	Prec@1 100.000 (93.193)	Prec@2 100.000 (98.639)
Epoch: [1][120/203], lr: 0.00100	Time 0.486 (0.583)	Data 0.000 (0.098)	Loss 0.5695 (0.1999)	Prec@1 75.000 (92.355)	Prec@2 87.500 (98.244)
Epoch: [1][140/203], lr: 0.00100	Time 0.484 (0.569)	Data 0.000 (0.084)	Loss 0.0758 (0.2047)	Prec@1 100.000 (92.287)	Prec@2 100.000 (98.227)
Epoch: [1][160/203], lr: 0.00100	Time 0.486 (0.559)	Data 0.000 (0.074)	Loss 0.0055 (0.2002)	Prec@1 100.000 (92.547)	Prec@2 100.000 (98.137)
Epoch: [1][180/203], lr: 0.00100	Time 0.484 (0.551)	Data 0.000 (0.066)	Loss 0.3988 (0.1965)	Prec@1 87.500 (92.749)	Prec@2 87.500 (98.204)
Epoch: [1][200/203], lr: 0.00100	Time 0.486 (0.544)	Data 0.000 (0.059)	Loss 0.3480 (0.1986)	Prec@1 87.500 (92.786)	Prec@2 87.500 (98.072)
Test: [0/88]	Time 11.495 (11.495)	Loss 0.0000 (0.0000)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [20/88]	Time 0.150 (0.708)	Loss 0.0009 (0.0411)	Prec@1 100.000 (99.405)	Prec@2 100.000 (100.000)
Test: [40/88]	Time 0.150 (0.437)	Loss 0.0535 (0.0465)	Prec@1 100.000 (99.390)	Prec@2 100.000 (100.000)
Test: [60/88]	Time 0.150 (0.344)	Loss 0.0685 (0.0747)	Prec@1 100.000 (98.566)	Prec@2 100.000 (100.000)
Test: [80/88]	Time 0.150 (0.296)	Loss 4.2978 (1.0115)	Prec@1 0.000 (84.414)	Prec@2 12.500 (91.512)
Testing Results: Prec@1 78.143 Prec@2 89.429 Loss 1.46663
Best Prec@1: 78.143

Epoch: [2][0/203], lr: 0.00100	Time 11.595 (11.595)	Data 11.022 (11.022)	Loss 0.0499 (0.0499)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Epoch: [2][20/203], lr: 0.00100	Time 0.485 (1.032)	Data 0.000 (0.543)	Loss 0.0244 (0.1301)	Prec@1 100.000 (96.429)	Prec@2 100.000 (99.405)
Epoch: [2][40/203], lr: 0.00100	Time 0.484 (0.765)	Data 0.000 (0.278)	Loss 0.0734 (0.1508)	Prec@1 100.000 (95.122)	Prec@2 100.000 (98.171)
Epoch: [2][60/203], lr: 0.00100	Time 0.486 (0.673)	Data 0.000 (0.187)	Loss 0.0291 (0.1366)	Prec@1 100.000 (95.492)	Prec@2 100.000 (98.361)
Epoch: [2][80/203], lr: 0.00100	Time 0.484 (0.627)	Data 0.000 (0.141)	Loss 0.0027 (0.1254)	Prec@1 100.000 (95.679)	Prec@2 100.000 (98.765)
Epoch: [2][100/203], lr: 0.00100	Time 0.486 (0.599)	Data 0.000 (0.113)	Loss 0.0648 (0.1579)	Prec@1 100.000 (94.307)	Prec@2 100.000 (98.639)
Epoch: [2][120/203], lr: 0.00100	Time 0.485 (0.580)	Data 0.001 (0.094)	Loss 0.1094 (0.1661)	Prec@1 100.000 (94.008)	Prec@2 100.000 (98.347)
Epoch: [2][140/203], lr: 0.00100	Time 0.485 (0.566)	Data 0.000 (0.081)	Loss 0.1845 (0.1628)	Prec@1 87.500 (94.149)	Prec@2 100.000 (98.316)
Epoch: [2][160/203], lr: 0.00100	Time 0.487 (0.556)	Data 0.000 (0.071)	Loss 0.0043 (0.1560)	Prec@1 100.000 (94.410)	Prec@2 100.000 (98.292)
Epoch: [2][180/203], lr: 0.00100	Time 0.486 (0.549)	Data 0.000 (0.063)	Loss 0.2236 (0.1525)	Prec@1 87.500 (94.475)	Prec@2 100.000 (98.343)
Epoch: [2][200/203], lr: 0.00100	Time 0.486 (0.542)	Data 0.000 (0.057)	Loss 0.1203 (0.1540)	Prec@1 100.000 (94.403)	Prec@2 100.000 (98.445)
Test: [0/88]	Time 11.190 (11.190)	Loss 0.0000 (0.0000)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [20/88]	Time 0.155 (0.690)	Loss 0.1218 (1.5597)	Prec@1 100.000 (69.643)	Prec@2 100.000 (75.595)
Test: [40/88]	Time 0.151 (0.428)	Loss 4.0297 (2.3495)	Prec@1 0.000 (44.817)	Prec@2 100.000 (86.280)
Test: [60/88]	Time 0.153 (0.337)	Loss 0.0000 (1.8769)	Prec@1 100.000 (55.533)	Prec@2 100.000 (90.779)
Test: [80/88]	Time 0.150 (0.291)	Loss 4.0574 (2.4983)	Prec@1 0.000 (52.006)	Prec@2 100.000 (91.512)
Testing Results: Prec@1 48.143 Prec@2 92.143 Loss 3.05963
Best Prec@1: 78.143

Epoch: [3][0/203], lr: 0.00100	Time 11.837 (11.837)	Data 11.339 (11.339)	Loss 0.0001 (0.0001)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Epoch: [3][20/203], lr: 0.00100	Time 0.486 (1.026)	Data 0.000 (0.540)	Loss 0.0230 (0.1411)	Prec@1 100.000 (95.833)	Prec@2 100.000 (98.214)
Epoch: [3][40/203], lr: 0.00100	Time 0.484 (0.762)	Data 0.000 (0.277)	Loss 0.5435 (0.1452)	Prec@1 75.000 (95.122)	Prec@2 87.500 (97.866)
Epoch: [3][60/203], lr: 0.00100	Time 0.485 (0.671)	Data 0.000 (0.186)	Loss 0.1470 (0.1409)	Prec@1 87.500 (94.672)	Prec@2 100.000 (98.361)
Epoch: [3][80/203], lr: 0.00100	Time 0.485 (0.625)	Data 0.000 (0.140)	Loss 0.1181 (0.1347)	Prec@1 100.000 (95.062)	Prec@2 100.000 (98.765)
Epoch: [3][100/203], lr: 0.00100	Time 0.486 (0.597)	Data 0.000 (0.112)	Loss 0.0002 (0.1376)	Prec@1 100.000 (95.050)	Prec@2 100.000 (98.762)
Epoch: [3][120/203], lr: 0.00100	Time 0.486 (0.579)	Data 0.000 (0.094)	Loss 0.0000 (0.1316)	Prec@1 100.000 (95.041)	Prec@2 100.000 (98.864)
Epoch: [3][140/203], lr: 0.00100	Time 0.485 (0.565)	Data 0.000 (0.081)	Loss 0.0303 (0.1326)	Prec@1 100.000 (95.035)	Prec@2 100.000 (98.936)
Epoch: [3][160/203], lr: 0.00100	Time 0.485 (0.555)	Data 0.000 (0.071)	Loss 0.0022 (0.1231)	Prec@1 100.000 (95.497)	Prec@2 100.000 (99.068)
Epoch: [3][180/203], lr: 0.00100	Time 0.486 (0.548)	Data 0.000 (0.063)	Loss 0.0161 (0.1278)	Prec@1 100.000 (95.028)	Prec@2 100.000 (99.102)
Epoch: [3][200/203], lr: 0.00100	Time 0.486 (0.542)	Data 0.000 (0.057)	Loss 0.0006 (0.1182)	Prec@1 100.000 (95.398)	Prec@2 100.000 (99.192)
Test: [0/88]	Time 11.423 (11.423)	Loss 0.0000 (0.0000)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Test: [20/88]	Time 0.153 (0.702)	Loss 0.0085 (1.6899)	Prec@1 100.000 (70.833)	Prec@2 100.000 (78.571)
Test: [40/88]	Time 0.156 (0.434)	Loss 0.2096 (1.1277)	Prec@1 100.000 (72.561)	Prec@2 100.000 (89.024)
Test: [60/88]	Time 0.150 (0.342)	Loss 0.0000 (0.7877)	Prec@1 100.000 (79.918)	Prec@2 100.000 (92.623)
Test: [80/88]	Time 0.149 (0.294)	Loss 9.8211 (2.2376)	Prec@1 0.000 (70.370)	Prec@2 75.000 (88.735)
Testing Results: Prec@1 65.143 Prec@2 89.286 Loss 3.08656
Best Prec@1: 78.143

Epoch: [4][0/203], lr: 0.00100	Time 11.805 (11.805)	Data 11.304 (11.304)	Loss 0.5795 (0.5795)	Prec@1 87.500 (87.500)	Prec@2 100.000 (100.000)
Epoch: [4][20/203], lr: 0.00100	Time 0.483 (1.035)	Data 0.000 (0.549)	Loss 0.0135 (0.1637)	Prec@1 100.000 (94.048)	Prec@2 100.000 (98.810)
Epoch: [4][40/203], lr: 0.00100	Time 0.483 (0.767)	Data 0.000 (0.281)	Loss 0.4586 (0.1751)	Prec@1 75.000 (93.293)	Prec@2 100.000 (98.476)
Epoch: [4][60/203], lr: 0.00100	Time 0.486 (0.674)	Data 0.001 (0.189)	Loss 0.0156 (0.1608)	Prec@1 100.000 (93.852)	Prec@2 100.000 (98.361)
Epoch: [4][80/203], lr: 0.00100	Time 0.487 (0.627)	Data 0.000 (0.142)	Loss 0.2889 (0.1472)	Prec@1 87.500 (93.981)	Prec@2 100.000 (98.611)
Epoch: [4][100/203], lr: 0.00100	Time 0.490 (0.599)	Data 0.000 (0.114)	Loss 0.0321 (0.1459)	Prec@1 100.000 (94.431)	Prec@2 100.000 (98.639)
Epoch: [4][120/203], lr: 0.00100	Time 0.485 (0.580)	Data 0.001 (0.095)	Loss 0.2381 (0.1396)	Prec@1 87.500 (94.628)	Prec@2 100.000 (98.657)
Epoch: [4][140/203], lr: 0.00100	Time 0.491 (0.567)	Data 0.000 (0.082)	Loss 0.1073 (0.1459)	Prec@1 100.000 (94.238)	Prec@2 100.000 (98.670)
Epoch: [4][160/203], lr: 0.00100	Time 0.492 (0.557)	Data 0.000 (0.072)	Loss 0.0001 (0.1386)	Prec@1 100.000 (94.488)	Prec@2 100.000 (98.758)
Epoch: [4][180/203], lr: 0.00100	Time 0.486 (0.549)	Data 0.000 (0.064)	Loss 0.0300 (0.1383)	Prec@1 100.000 (94.613)	Prec@2 100.000 (98.688)
Epoch: [4][200/203], lr: 0.00100	Time 0.487 (0.543)	Data 0.001 (0.057)	Loss 0.0004 (0.1405)	Prec@1 100.000 (94.590)	Prec@2 100.000 (98.632)
Test: [0/88]	Time 11.815 (11.815)	Loss 0.5347 (0.5347)	Prec@1 62.500 (62.500)	Prec@2 100.000 (100.000)
Test: [20/88]	Time 0.151 (0.714)	Loss 1.5251 (3.0431)	Prec@1 25.000 (57.738)	Prec@2 100.000 (67.262)
Test: [40/88]	Time 0.159 (0.440)	Loss 0.6883 (2.4610)	Prec@1 62.500 (49.390)	Prec@2 100.000 (77.439)
Test: [60/88]	Time 0.150 (0.346)	Loss 0.0000 (1.7338)	Prec@1 100.000 (60.246)	Prec@2 100.000 (84.836)
Test: [80/88]	Time 0.150 (0.297)	Loss 5.6375 (2.5798)	Prec@1 0.000 (55.247)	Prec@2 100.000 (87.654)
Testing Results: Prec@1 51.143 Prec@2 88.571 Loss 3.16851
Best Prec@1: 78.143

Epoch: [5][0/203], lr: 0.00100	Time 11.744 (11.744)	Data 11.247 (11.247)	Loss 0.0013 (0.0013)	Prec@1 100.000 (100.000)	Prec@2 100.000 (100.000)
Epoch: [5][20/203], lr: 0.00100	Time 0.487 (1.025)	Data 0.000 (0.538)	Loss 0.0084 (0.0955)	Prec@1 100.000 (95.238)	Prec@2 100.000 (99.405)
Epoch: [5][40/203], lr: 0.00100	Time 0.487 (0.761)	Data 0.000 (0.276)	Loss 0.0604 (0.1040)	Prec@1 100.000 (95.122)	Prec@2 100.000 (99.695)
Epoch: [5][60/203], lr: 0.00100	Time 0.484 (0.671)	Data 0.000 (0.185)	Loss 0.7928 (0.1147)	Prec@1 75.000 (94.877)	Prec@2 75.000 (98.770)
Epoch: [5][80/203], lr: 0.00100	Time 0.485 (0.625)	Data 0.000 (0.140)	Loss 0.1994 (0.1078)	Prec@1 87.500 (95.216)	Prec@2 100.000 (99.074)
Epoch: [5][100/203], lr: 0.00100	Time 0.484 (0.597)	Data 0.000 (0.112)	Loss 0.2337 (0.0981)	Prec@1 87.500 (95.792)	Prec@2 100.000 (99.257)
