frame 124 : x_591.5182304382324, y_392.9169273376465
frame 125 : x_590.3460121154785, y_423.46795320510864
frame 126 : x_587.1868324279785, y_466.77719593048096
frame 127 : x_583.5009956359863, y_512.9046678543091
frame 128 : x_580.7905769348145, y_480.12290239334106
frame 129 : x_577.8670501708984, y_445.28364658355713
frame 130 : x_575.3585243225098, y_417.2476315498352
frame 131 : x_574.9728965759277, y_398.2414984703064
frame 132 : x_577.880744934082, y_384.6269702911377
frame 133 : x_581.2209129333496, y_382.0669949054718
frame 134 : x_582.3393249511719, y_393.7551283836365
frame 135 : x_580.7048225402832, y_420.43752908706665
frame 136 : x_576.1856842041016, y_463.1260013580322
frame 137 : x_572.3257064819336, y_510.219304561615
frame 138 : x_570.0263595581055, y_486.1284327507019
frame 139 : x_567.4367904663086, y_450.38941383361816
frame 140 : x_563.9305877685547, y_419.52587842941284
frame 141 : x_564.6991348266602, y_396.1781072616577
frame 142 : x_567.8063011169434, y_380.2623510360718
frame 143 : x_571.3467025756836, y_374.15056228637695
frame 144 : x_574.7737884521484, y_383.2367706298828
frame 145 : x_575.3580093383789, y_407.9848909378052
frame 146 : x_573.1452941894531, y_450.62089920043945
frame 147 : x_570.1917457580566, y_496.9995975494385
frame 148 : x_569.7149085998535, y_495.0888991355896
frame 149 : x_569.0138626098633, y_457.85651206970215
frame 150 : x_568.859748840332, y_426.4682936668396
frame 151 : x_569.8795127868652, y_403.3972191810608
frame 152 : x_573.4064102172852, y_386.42619609832764
frame 153 : x_578.9067649841309, y_378.48209381103516
frame 154 : x_583.2769966125488, y_383.20454120635986
frame 155 : x_586.9432640075684, y_402.33721017837524
frame 156 : x_585.4515266418457, y_437.9981231689453
frame 157 : x_582.4899291992188, y_481.5785479545593
frame 158 : x_581.3407325744629, y_506.35799646377563
frame 159 : x_580.1265716552734, y_468.1383419036865
frame 160 : x_581.1689567565918, y_433.42100858688354
frame 161 : x_581.1314582824707, y_407.03352212905884
frame 162 : x_581.5933990478516, y_388.3015537261963
frame 163 : x_586.1903762817383, y_377.5837576389313
frame 164 : x_588.9276313781738, y_378.1948721408844
frame 165 : x_589.8075103759766, y_394.54758167266846
frame 166 : x_588.404712677002, y_426.1891293525696
frame 167 : x_582.3677062988281, y_470.87204933166504
frame 168 : x_580.012035369873, y_515.6429243087769
frame 169 : x_580.6774139404297, y_478.88915061950684
frame 170 : x_581.1371994018555, y_442.46859312057495
frame 171 : x_581.1894989013672, y_417.42751121520996
frame 172 : x_583.3151435852051, y_397.3015236854553
frame 173 : x_588.7828826904297, y_385.41147351264954
frame 174 : x_592.3180198669434, y_385.11308312416077
frame 175 : x_594.1255187988281, y_401.7547845840454
frame 176 : x_589.3850326538086, y_435.169894695282
frame 177 : x_583.5653686523438, y_480.72094917297363
frame 178 : x_580.5774688720703, y_510.3974461555481
frame 179 : x_577.8398895263672, y_472.41629362106323
frame 180 : x_575.3264427185059, y_438.0456304550171
frame 181 : x_575.4978561401367, y_412.54430294036865
frame 182 : x_578.4539985656738, y_394.3800616264343
frame 183 : x_583.123893737793, y_384.9101257324219
frame 184 : x_585.5020904541016, y_387.2892451286316
frame 185 : x_584.7198867797852, y_405.88332653045654
frame 186 : x_580.4442405700684, y_440.12717485427856
frame 187 : x_577.7684593200684, y_484.04433488845825
frame 188 : x_574.8366165161133, y_503.94336462020874
frame 189 : x_574.5492553710938, y_467.85228967666626
frame 190 : x_571.8096542358398, y_435.19057989120483
frame 191 : x_572.4206352233887, y_411.25566244125366
frame 192 : x_575.6399726867676, y_394.06819581985474
frame 193 : x_580.2207565307617, y_383.6628985404968
frame 194 : x_583.001708984375, y_384.8439931869507
frame 195 : x_584.0461921691895, y_400.8181142807007
frame 196 : x_580.2454376220703, y_432.39516019821167
frame 197 : x_573.9977264404297, y_477.12037324905396
frame 198 : x_569.3532752990723, y_514.0744543075562
frame 199 : x_567.573127746582, y_477.454833984375
frame 200 : x_565.5345726013184, y_443.24748516082764
frame 201 : x_563.3150291442871, y_414.158992767334
frame 202 : x_564.9748229980469, y_391.9525337219238
frame 203 : x_566.4175033569336, y_377.11668848991394
frame 204 : x_569.4241714477539, y_374.0522539615631
frame 205 : x_570.1738166809082, y_385.7333171367645
frame 206 : x_569.4039726257324, y_415.02013206481934
frame 207 : x_569.6536064147949, y_460.33506631851196
frame 208 : x_570.7125091552734, y_510.5679702758789
frame 209 : x_574.7404479980469, y_489.0152621269226
frame 210 : x_578.1469535827637, y_452.36538648605347
frame 211 : x_582.9909896850586, y_420.68997859954834
frame 212 : x_586.8382835388184, y_401.0397934913635
frame 213 : x_591.0336303710938, y_391.91689252853394
frame 214 : x_593.1507301330566, y_397.5363349914551
frame 215 : x_592.6124954223633, y_421.36306285858154
frame 216 : x_587.6975059509277, y_456.5678071975708
frame 217 : x_581.8375587463379, y_496.09691619873047
frame 218 : x_579.1892433166504, y_491.1086940765381
frame 219 : x_575.5744934082031, y_457.7457046508789
frame 220 : x_571.4530944824219, y_430.5089235305786
frame 221 : x_568.6068534851074, y_411.057608127594
frame 222 : x_568.9972877502441, y_393.0574107170105
frame 223 : x_571.8742370605469, y_379.66071009635925
frame 224 : x_577.2733116149902, y_372.6196002960205
frame 225 : x_581.7763900756836, y_377.23039269447327
frame 226 : x_581.7873573303223, y_399.2347526550293
frame 227 : x_579.3125534057617, y_437.0623755455017
frame 228 : x_577.3560523986816, y_484.13220405578613
frame 229 : x_575.748291015625, y_502.4302124977112
frame 230 : x_575.2839279174805, y_465.80769538879395
frame 231 : x_575.1297950744629, y_431.34394884109497
frame 232 : x_576.5737724304199, y_407.3643136024475
frame 233 : x_578.9595985412598, y_390.83731412887573
frame 234 : x_581.5057754516602, y_387.1949279308319
frame 235 : x_581.5200614929199, y_400.20352363586426
frame 236 : x_575.7772254943848, y_427.8981900215149
frame 237 : x_569.046745300293, y_466.751446723938
frame 238 : x_563.0741119384766, y_507.6625156402588
frame 239 : x_561.446418762207, y_481.0788631439209
frame 240 : x_558.8825988769531, y_448.8601040840149
frame 241 : x_555.8100509643555, y_426.0062026977539
frame 242 : x_555.7903289794922, y_406.81873083114624
frame 243 : x_561.2682914733887, y_391.4371418952942
frame 244 : x_564.8278999328613, y_382.4644660949707
frame 245 : x_569.48486328125, y_384.3628478050232
